Id_uzla1,Id_uzla2,Dlzka_useku
112,41,1015
41,23,704
23,33,451
33,25,617
25,42,654
42,38,521
38,37,705
37,9,755
9,95,722
95,96,662
96,94,501
94,93,1018
93,92,696
92,91,1060
91,126,679
126,77,406
77,78,615
78,79,592
79,52,928
52,50,310
50,51,592
51,33,866
33,23,366
23,41,838
41,112,859
49,122,513
122,120,471
120,123,1231
123,125,291
125,124,384
124,41,440
33,39,441
39,38,734
38,42,586
42,25,796
25,33,513
41,124,329
124,125,380
125,123,619
123,120,1003
120,122,346
122,49,567
9,119,419
119,9,388
9,37,454
37,38,912
33,27,431
27,51,488
51,50,267
50,52,437
52,79,965
79,78,605
78,77,556
77,126,450
126,91,736
91,92,1066
92,94,761
94,96,507
94,92,795
92,72,638
72,73,522
73,75,669
75,93,779
93,94,606
96,95,532
95,9,804
9,230,628
230,54,1218
54,53,641
53,62,646
62,20,596
20,19,612
19,18,440
18,160,766
160,18,834
18,19,470
19,20,611
20,62,502
62,53,650
53,52,379
51,37,572
42,300,747
300,31,446
31,47,1107
47,74,1576
74,70,889
70,64,964
64,66,781
66,64,781
64,70,983
70,74,883
74,47,1638
47,31,877
31,300,624
300,42,921
1,3,353
3,4,519
4,5,393
5,2,553
2,125,339
23,40,440
40,25,755
25,30,503
30,17,863
17,46,1001
46,44,633
44,43,587
43,45,438
25,40,545
40,23,462
125,2,353
2,5,525
5,4,424
4,3,488
3,1,353
45,43,470
43,44,552
44,46,687
46,17,654
17,30,1060
30,25,735
25,36,557
36,29,942
29,22,542
22,112,632
112,22,674
22,29,456
29,36,2339
36,25,750
53,54,746
54,55,329
55,23,686
23,39,861
42,30,622
17,12,1866
12,13,546
13,10,382
10,11,531
11,10,495
10,13,430
13,12,652
12,17,1862
30,42,841
46,98,1688
98,99,465
99,98,481
98,46,1686
112,114,667
114,112,698
66,63,1426
63,66,1426
38,34,532
34,28,645
28,47,1003
47,71,706
71,69,482
69,90,494
90,85,555
85,89,326
89,84,487
84,88,361
88,86,574
86,87,464
87,86,468
86,88,569
88,84,362
84,89,468
89,85,349
85,90,562
90,69,497
69,71,477
71,47,830
47,28,842
28,34,668
34,38,625
38,39,685
39,23,895
23,55,903
55,54,289
25,24,551
24,21,554
21,68,733
68,67,592
67,82,361
82,67,391
67,68,592
68,21,828
21,24,442
24,25,723
9,162,539
162,501,813
501,92,1420
92,162,865
162,9,696
75,47,1079
41,140,628
140,60,796
60,56,510
56,57,408
57,58,240
58,57,240
57,56,444
56,60,496
60,140,826
140,41,775
47,75,1116
75,73,417
73,72,388
17,16,380
16,15,674
15,164,407
164,100,610
100,101,527
101,102,497
102,110,1788
110,113,643
113,109,324
109,115,604
115,109,648
109,113,310
113,110,616
110,102,1814
102,101,490
101,100,513
100,164,626
164,15,513
15,16,576
16,17,719
112,116,563
116,49,1180
49,116,1113
116,112,591
29,23,1769
159,103,150
103,105,380
105,107,1305
107,106,596
106,104,1701
104,83,1133
83,81,974
81,22,864
22,35,514
35,41,789
17,14,1317
14,17,2103
41,35,699
35,22,490
22,68,505
82,83,642
83,104,1214
104,106,1635
106,107,608
107,105,1279
105,103,380
103,159,150
107,42,7517
79,76,605
76,6,344
6,8,458
8,7,426
7,37,690
39,37,335
37,7,841
7,8,345
8,6,575
6,76,284
76,79,615
51,39,683
92,93,1009
37,39,493
39,27,336
28,96,1073
96,28,1048
