Index;ID_useku;ID_uzol1;ID_uzol2;dlzka_useku
0;0;112;41;1015
1;1;41;23;704
2;2;23;33;451
3;3;33;25;617
4;4;25;42;654
5;5;42;38;521
6;6;38;37;705
7;7;37;9;755
8;8;9;95;722
9;9;95;96;662
10;10;96;94;501
11;11;94;93;1018
12;12;93;92;696
13;13;92;91;1060
14;14;91;126;679
15;15;126;77;406
16;16;77;78;615
17;17;78;79;592
18;18;79;52;928
19;19;52;50;310
20;20;50;51;592
21;21;51;33;866
22;22;33;23;366
23;23;23;41;838
24;24;41;112;859
25;25;49;122;513
26;26;122;120;471
27;27;120;123;1231
28;28;123;125;291
29;29;125;124;384
30;30;124;41;440
31;31;33;39;441
32;32;39;38;734
33;33;38;42;586
34;34;42;25;796
35;35;25;33;513
36;36;41;124;329
37;37;124;125;380
38;38;125;123;619
39;39;123;120;1003
40;40;120;122;346
41;41;122;49;567
42;42;9;119;419
43;43;119;9;388
44;44;9;37;454
45;45;37;38;912
46;46;33;27;431
47;47;27;51;488
48;48;51;50;267
49;49;50;52;437
50;50;52;79;965
51;51;79;78;605
52;52;78;77;556
53;53;77;126;450
54;54;126;91;736
55;55;91;92;1066
56;56;92;94;761
57;57;94;96;507
58;58;94;92;795
59;59;92;72;638
60;60;72;73;522
61;61;73;75;669
62;62;75;93;779
63;63;93;94;606
64;64;96;95;532
65;65;95;9;804
66;66;9;230;628
67;67;230;54;1218
68;68;54;53;641
69;69;53;62;646
70;70;62;20;596
71;71;20;19;612
72;72;19;18;440
73;73;18;160;766
74;74;160;18;834
75;75;18;19;470
76;76;19;20;611
77;77;20;62;502
78;78;62;53;650
79;79;53;52;379
80;80;51;37;572
81;81;42;300;747
82;82;300;31;446
83;83;31;47;1107
84;84;47;74;1576
85;85;74;70;889
86;86;70;64;964
87;87;64;66;781
88;88;66;64;781
89;89;64;70;983
90;90;70;74;883
91;91;74;47;1638
92;92;47;31;877
93;93;31;300;624
94;94;300;42;921
95;95;1;3;353
96;96;3;4;519
97;97;4;5;393
98;98;5;2;553
99;99;2;125;339
100;100;23;40;440
101;101;40;25;755
102;102;25;30;503
103;103;30;17;863
104;104;17;46;1001
105;105;46;44;633
106;106;44;43;587
107;107;43;45;438
108;108;25;40;545
109;109;40;23;462
110;110;125;2;353
111;111;2;5;525
112;112;5;4;424
113;113;4;3;488
