Index;ID_useku;ID_uzol1;ID_uzol2;dlzka_useku
0;0;112;41;1015
1;1;41;23;704
2;2;23;33;451
3;3;33;25;617
4;4;25;42;654
5;5;42;38;521
6;6;38;37;705
7;7;37;9;755
8;8;9;95;722
9;9;95;96;662
10;10;96;94;501
11;11;94;93;1018
12;12;93;92;696
13;13;92;91;1060
14;14;91;126;679
15;15;126;77;406
16;16;77;78;615
17;17;78;79;592
18;18;79;52;928
19;19;52;50;310
20;20;50;51;592
21;21;51;33;866
22;22;33;23;366
23;23;23;41;838
24;24;41;112;859
25;25;49;122;513
26;26;122;120;471
27;27;120;123;1231
28;28;123;125;291
29;29;125;124;384
30;30;124;41;440
31;31;33;39;441
32;32;39;38;734
33;33;38;42;586
34;34;42;25;796
35;35;25;33;513
36;36;41;124;329
37;37;124;125;380
38;38;125;123;619
39;39;123;120;1003
40;40;120;122;346
41;41;122;49;567
42;42;9;119;419
43;43;119;9;388
44;44;9;37;454
45;45;37;38;912
46;46;33;27;431
47;47;27;51;488
48;48;51;50;267
49;49;50;52;437
50;50;52;79;965
51;51;79;78;605
52;52;78;77;556
53;53;77;126;450
54;54;126;91;736
55;55;91;92;1066
56;56;92;94;761
57;57;94;96;507
58;58;94;92;795
59;63;93;94;606
60;64;96;95;532
61;65;95;9;804
62;68;54;53;641
63;69;53;62;646
64;70;62;20;596
65;71;20;19;612
66;72;19;18;440
67;73;18;160;766
68;74;160;18;834
69;75;18;19;470
70;76;19;20;611
71;77;20;62;502
72;78;62;53;650
73;79;53;52;379
74;81;42;300;747
75;82;300;31;446
76;83;31;47;1107
77;84;47;74;1576
78;85;74;70;889
79;86;70;64;964
80;87;64;66;781
81;88;66;64;781
82;89;64;70;983
83;90;70;74;883
84;91;74;47;1638
85;92;47;31;877
86;93;31;300;624
87;94;300;42;921
88;95;1;3;353
89;96;3;4;519
90;97;4;5;393
91;98;5;2;553
92;99;2;125;339
93;100;23;40;440
94;101;40;25;755
95;102;25;30;503
96;103;30;17;863
97;104;17;46;1001
98;105;46;44;633
99;106;44;43;587
100;107;43;45;438
101;108;25;40;545
102;109;40;23;462
103;110;125;2;353
104;111;2;5;525
105;112;5;4;424
106;113;4;3;488
107;114;3;1;353
108;115;45;43;470
109;116;43;44;552
110;117;44;46;687
111;118;46;17;654
112;119;17;30;1060
113;120;30;25;735
114;121;25;36;557
115;122;36;29;942
116;123;29;22;542
117;124;22;112;632
118;125;112;22;674
119;126;22;29;456
120;127;29;36;2339
121;128;36;25;750
122;129;53;54;746
123;130;54;55;329
124;131;55;23;686
125;132;23;39;861
126;133;42;30;622
127;134;17;12;1866
128;135;12;13;546
129;136;13;10;382
130;137;10;11;531
131;138;11;10;495
132;139;10;13;430
133;140;13;12;652
134;141;12;17;1862
135;142;30;42;841
136;143;46;98;1688
137;144;98;99;465
138;145;99;98;481
139;146;98;46;1686
140;147;112;114;667
141;148;114;112;698
142;149;66;63;1426
143;150;63;66;1426
144;151;38;34;532
145;152;34;28;645
146;153;28;47;1003
147;154;47;71;706
148;155;71;69;482
149;156;69;90;494
150;157;90;85;555
151;158;85;89;326
152;159;89;84;487
153;160;84;88;361
154;161;88;86;574
155;162;86;87;464
156;163;87;86;468
157;164;86;88;569
158;165;88;84;362
159;166;84;89;468
160;167;89;85;349
161;168;85;90;562
162;169;90;69;497
163;170;69;71;477
164;171;71;47;830
165;172;47;28;842
166;173;28;34;668
167;174;34;38;625
168;175;38;39;685
169;176;39;23;895
170;177;23;55;903
171;178;55;54;289
172;182;68;67;592
173;183;67;82;361
174;192;92;162;865
175;193;162;9;696
176;195;41;140;628
177;196;140;60;796
178;197;60;56;510
179;198;56;57;408
180;199;57;58;240
181;200;58;57;240
182;201;57;56;444
183;202;56;60;496
184;203;60;140;826
185;204;140;41;775
186;208;17;16;380
187;209;16;15;674
188;210;15;164;407
189;211;164;100;610
190;212;100;101;527
191;213;101;102;497
192;214;102;110;1788
193;215;110;113;643
194;216;113;109;324
195;217;109;115;604
196;218;115;109;648
197;219;109;113;310
198;220;113;110;616
199;221;110;102;1814
200;222;102;101;490
201;223;101;100;513
202;224;100;164;626
203;225;164;15;513
204;226;15;16;576
205;227;16;17;719
206;228;112;116;563
207;229;116;49;1180
208;230;49;116;1113
209;231;116;112;591
210;232;29;23;1769
211;233;159;103;150
212;234;103;105;380
213;235;105;107;1305
214;236;107;106;596
215;237;106;104;1701
216;238;104;83;1133
217;239;83;81;974
218;240;81;22;864
219;241;22;35;514
220;242;35;41;789
221;243;17;14;1317
222;244;14;17;2103
223;245;41;35;699
224;246;35;22;490
225;247;22;68;505
226;248;82;83;642
227;249;83;104;1214
228;250;104;106;1635
229;251;106;107;608
230;252;107;105;1279
231;253;105;103;380
232;254;103;159;150
233;255;107;42;7517
234;261;39;37;335
235;267;51;39;683
236;268;92;93;1009
237;269;37;39;493
238;271;28;96;1073
239;272;96;28;1048
